pair,profit_pct,profit_abs,hold_time_minutes,entry_time,exit_reason,is_winner
BTC/USDT,0.014934283060224655,1.4934283060224656,10.533965548363595,2024-12-14 05:38:57,time_stop,True
ETH/USDT,0.002234713976576307,0.2234713976576307,0.4787101488694454,2024-12-09 05:35:39,time_stop,True
ETH/USDT,-0.004389487718699043,-0.43894877186990433,1.605431909997307,2024-12-05 09:11:57,roi,False
ETH/USDT,0.015851200871719293,1.5851200871719293,4.524296534242693,2024-12-01 18:27:59,time_stop,True
BTC/USDT,0.03431297537843108,3.431297537843108,1.7818868970295223,2024-12-08 04:56:02,time_stop,True
BTC/USDT,0.00048447399026928673,0.04844739902692867,9.12316642710081,2024-12-09 15:17:03,volatility_stop,True
ETH/USDT,-0.03553439231460185,-3.553439231460185,0.1287606879505872,2024-12-03 04:27:46,time_stop,False
BTC/USDT,0.02738847223123675,2.738847223123675,7.532799760856111,2024-12-08 23:34:13,volatility_stop,True
BTC/USDT,0.01632225653562082,1.6322256535620818,4.4292508880559005,2024-12-06 18:03:53,time_stop,True
ETH/USDT,-0.00908906900753181,-0.908906900753181,14.775713944274187,2024-12-12 10:09:35,time_stop,False
ETH/USDT,-0.015181706857302153,-1.5181706857302153,2.5324835456706056,2024-12-06 08:25:24,volatility_stop,False
BTC/USDT,-0.02666588427073775,-2.666588427073775,6.259256665661968,2024-12-09 23:44:00,time_stop,False
ETH/USDT,-0.03251353544413035,-3.2513535444130346,2.779322713283673,2024-12-15 19:50:16,time_stop,False
ETH/USDT,-0.022335642777725956,-2.2335642777725955,12.491872040971522,2024-12-11 13:41:38,roi,False
ETH/USDT,-0.01292670366258604,-1.2926703662586039,3.7066809343867417,2024-12-15 08:36:34,volatility_stop,False
BTC/USDT,0.0027602435898611685,0.2760243589861168,2.5695997114211337,2024-12-03 09:34:36,stoploss,True
BTC/USDT,0.014355895065263035,1.4355895065263036,2.153342011695455,2024-12-14 15:26:08,time_stop,True
BTC/USDT,0.019722447013385155,1.9722447013385154,0.9402819181890361,2024-12-12 21:50:31,roi,True
BTC/USDT,0.006835215530710046,0.6835215530710046,19.050124238767804,2024-12-07 15:44:14,roi,True
